,league,url
154,spain,https://transfermarkt.com/deportivo-la-coruna/transfers/verein/897/saison_id/2015
155,spain,https://transfermarkt.com/fc-granada/transfers/verein/16795/saison_id/2015
156,spain,https://transfermarkt.com/sd-eibar/transfers/verein/1533/saison_id/2015
157,spain,https://transfermarkt.com/ud-las-palmas/transfers/verein/472/saison_id/2015
158,spain,https://transfermarkt.com/sporting-gijon/transfers/verein/2448/saison_id/2015
159,spain,https://transfermarkt.com/real-betis-sevilla/transfers/verein/150/saison_id/2015
160,spain,https://transfermarkt.com/fc-barcelona/transfers/verein/131/saison_id/2016
161,spain,https://transfermarkt.com/real-madrid/transfers/verein/418/saison_id/2016
162,spain,https://transfermarkt.com/atletico-madrid/transfers/verein/13/saison_id/2016
163,spain,https://transfermarkt.com/athletic-bilbao/transfers/verein/621/saison_id/2016
164,spain,https://transfermarkt.com/fc-villarreal/transfers/verein/1050/saison_id/2016
165,spain,https://transfermarkt.com/real-betis-sevilla/transfers/verein/150/saison_id/2016
166,spain,https://transfermarkt.com/fc-sevilla/transfers/verein/368/saison_id/2016
167,spain,https://transfermarkt.com/deportivo-alaves/transfers/verein/1108/saison_id/2016
168,spain,https://transfermarkt.com/cd-leganes/transfers/verein/1244/saison_id/2016
169,spain,https://transfermarkt.com/espanyol-barcelona/transfers/verein/714/saison_id/2016
170,spain,https://transfermarkt.com/fc-granada/transfers/verein/16795/saison_id/2016
171,spain,https://transfermarkt.com/sd-eibar/transfers/verein/1533/saison_id/2016
172,spain,https://transfermarkt.com/celta-vigo/transfers/verein/940/saison_id/2016
173,spain,https://transfermarkt.com/sporting-gijon/transfers/verein/2448/saison_id/2016
174,spain,https://transfermarkt.com/deportivo-la-coruna/transfers/verein/897/saison_id/2016
175,spain,https://transfermarkt.com/real-sociedad-san-sebastian/transfers/verein/681/saison_id/2016
176,spain,https://transfermarkt.com/fc-malaga/transfers/verein/1084/saison_id/2016
177,spain,https://transfermarkt.com/fc-valencia/transfers/verein/1049/saison_id/2016
178,spain,https://transfermarkt.com/ud-las-palmas/transfers/verein/472/saison_id/2016
179,spain,https://transfermarkt.com/ca-osasuna/transfers/verein/331/saison_id/2016
180,spain,https://transfermarkt.com/real-madrid/transfers/verein/418/saison_id/2017
181,spain,https://transfermarkt.com/fc-barcelona/transfers/verein/131/saison_id/2017
182,spain,https://transfermarkt.com/atletico-madrid/transfers/verein/13/saison_id/2017
183,spain,https://transfermarkt.com/fc-sevilla/transfers/verein/368/saison_id/2017
184,spain,https://transfermarkt.com/fc-villarreal/transfers/verein/1050/saison_id/2017
185,spain,https://transfermarkt.com/real-sociedad-san-sebastian/transfers/verein/681/saison_id/2017
186,spain,https://transfermarkt.com/athletic-bilbao/transfers/verein/621/saison_id/2017
187,spain,https://transfermarkt.com/espanyol-barcelona/transfers/verein/714/saison_id/2017
188,spain,https://transfermarkt.com/deportivo-alaves/transfers/verein/1108/saison_id/2017
189,spain,https://transfermarkt.com/sd-eibar/transfers/verein/1533/saison_id/2017
190,spain,https://transfermarkt.com/fc-malaga/transfers/verein/1084/saison_id/2017
191,spain,https://transfermarkt.com/fc-valencia/transfers/verein/1049/saison_id/2017
192,spain,https://transfermarkt.com/celta-vigo/transfers/verein/940/saison_id/2017
193,spain,https://transfermarkt.com/ud-las-palmas/transfers/verein/472/saison_id/2017
194,spain,https://transfermarkt.com/real-betis-sevilla/transfers/verein/150/saison_id/2017
195,spain,https://transfermarkt.com/deportivo-la-coruna/transfers/verein/897/saison_id/2017
196,spain,https://transfermarkt.com/cd-leganes/transfers/verein/1244/saison_id/2017
197,spain,https://transfermarkt.com/ud-levante/transfers/verein/3368/saison_id/2017
198,spain,https://transfermarkt.com/fc-girona/transfers/verein/12321/saison_id/2017
199,spain,https://transfermarkt.com/fc-getafe/transfers/verein/3709/saison_id/2017
200,spain,https://transfermarkt.com/athletic-bilbao/transfers/verein/621/saison_id/2018
201,spain,https://transfermarkt.com/atletico-madrid/transfers/verein/13/saison_id/2018
202,spain,https://transfermarkt.com/cd-leganes/transfers/verein/1244/saison_id/2018
203,spain,https://transfermarkt.com/deportivo-alaves/transfers/verein/1108/saison_id/2018
204,spain,https://transfermarkt.com/fc-barcelona/transfers/verein/131/saison_id/2018
205,spain,https://transfermarkt.com/fc-getafe/transfers/verein/3709/saison_id/2018
206,spain,https://transfermarkt.com/fc-girona/transfers/verein/12321/saison_id/2018
207,spain,https://transfermarkt.com/ud-levante/transfers/verein/3368/saison_id/2018
208,spain,https://transfermarkt.com/celta-vigo/transfers/verein/940/saison_id/2018
209,spain,https://transfermarkt.com/espanyol-barcelona/transfers/verein/714/saison_id/2018
210,spain,https://transfermarkt.com/real-betis-sevilla/transfers/verein/150/saison_id/2018
211,spain,https://transfermarkt.com/real-madrid/transfers/verein/418/saison_id/2018
212,spain,https://transfermarkt.com/real-sociedad-san-sebastian/transfers/verein/681/saison_id/2018
213,spain,https://transfermarkt.com/sd-eibar/transfers/verein/1533/saison_id/2018
214,spain,https://transfermarkt.com/fc-sevilla/transfers/verein/368/saison_id/2018
215,spain,https://transfermarkt.com/fc-valencia/transfers/verein/1049/saison_id/2018
216,spain,https://transfermarkt.com/fc-villarreal/transfers/verein/1050/saison_id/2018
217,spain,https://transfermarkt.com/sd-huesca/transfers/verein/5358/saison_id/2018
218,spain,https://transfermarkt.com/rayo-vallecano/transfers/verein/367/saison_id/2018
219,spain,https://transfermarkt.com/real-valladolid/transfers/verein/366/saison_id/2018
220,spain,https://transfermarkt.com/fc-barcelona/transfers/verein/131/saison_id/2019
221,spain,https://transfermarkt.com/atletico-madrid/transfers/verein/13/saison_id/2019
222,spain,https://transfermarkt.com/real-madrid/transfers/verein/418/saison_id/2019
223,spain,https://transfermarkt.com/fc-getafe/transfers/verein/3709/saison_id/2019
224,spain,https://transfermarkt.com/fc-valencia/transfers/verein/1049/saison_id/2019
225,spain,https://transfermarkt.com/fc-sevilla/transfers/verein/368/saison_id/2019
226,spain,https://transfermarkt.com/athletic-bilbao/transfers/verein/621/saison_id/2019
227,spain,https://transfermarkt.com/real-sociedad-san-sebastian/transfers/verein/681/saison_id/2019
228,spain,https://transfermarkt.com/espanyol-barcelona/transfers/verein/714/saison_id/2019
229,spain,https://transfermarkt.com/deportivo-alaves/transfers/verein/1108/saison_id/2019
230,spain,https://transfermarkt.com/sd-eibar/transfers/verein/1533/saison_id/2019
231,spain,https://transfermarkt.com/cd-leganes/transfers/verein/1244/saison_id/2019
232,spain,https://transfermarkt.com/real-betis-sevilla/transfers/verein/150/saison_id/2019
233,spain,https://transfermarkt.com/fc-villarreal/transfers/verein/1050/saison_id/2019
234,spain,https://transfermarkt.com/ud-levante/transfers/verein/3368/saison_id/2019
235,spain,https://transfermarkt.com/real-valladolid/transfers/verein/366/saison_id/2019
236,spain,https://transfermarkt.com/celta-vigo/transfers/verein/940/saison_id/2019
237,spain,https://transfermarkt.com/ca-osasuna/transfers/verein/331/saison_id/2019
238,spain,https://transfermarkt.com/fc-granada/transfers/verein/16795/saison_id/2019
239,spain,https://transfermarkt.com/rcd-mallorca/transfers/verein/237/saison_id/2019
240,spain,https://transfermarkt.com/real-madrid/transfers/verein/418/saison_id/2020
241,spain,https://transfermarkt.com/fc-barcelona/transfers/verein/131/saison_id/2020
242,spain,https://transfermarkt.com/atletico-madrid/transfers/verein/13/saison_id/2020
243,spain,https://transfermarkt.com/fc-sevilla/transfers/verein/368/saison_id/2020
244,spain,https://transfermarkt.com/fc-villarreal/transfers/verein/1050/saison_id/2020
245,spain,https://transfermarkt.com/fc-getafe/transfers/verein/3709/saison_id/2020
246,spain,https://transfermarkt.com/real-sociedad-san-sebastian/transfers/verein/681/saison_id/2020
247,spain,https://transfermarkt.com/fc-valencia/transfers/verein/1049/saison_id/2020
248,spain,https://transfermarkt.com/athletic-bilbao/transfers/verein/621/saison_id/2020
249,spain,https://transfermarkt.com/fc-granada/transfers/verein/16795/saison_id/2020
250,spain,https://transfermarkt.com/ca-osasuna/transfers/verein/331/saison_id/2020
251,spain,https://transfermarkt.com/ud-levante/transfers/verein/3368/saison_id/2020
252,spain,https://transfermarkt.com/real-betis-sevilla/transfers/verein/150/saison_id/2020
253,spain,https://transfermarkt.com/real-valladolid/transfers/verein/366/saison_id/2020
254,spain,https://transfermarkt.com/fc-cadiz/transfers/verein/2687/saison_id/2020
255,spain,https://transfermarkt.com/sd-eibar/transfers/verein/1533/saison_id/2020
256,spain,https://transfermarkt.com/deportivo-alaves/transfers/verein/1108/saison_id/2020
257,spain,https://transfermarkt.com/sd-huesca/transfers/verein/5358/saison_id/2020
258,spain,https://transfermarkt.com/celta-vigo/transfers/verein/940/saison_id/2020
259,spain,https://transfermarkt.com/fc-elche/transfers/verein/1531/saison_id/2020
260,spain,https://transfermarkt.com/atletico-madrid/transfers/verein/13/saison_id/2021
261,spain,https://transfermarkt.com/fc-barcelona/transfers/verein/131/saison_id/2021
262,spain,https://transfermarkt.com/real-madrid/transfers/verein/418/saison_id/2021
263,spain,https://transfermarkt.com/fc-sevilla/transfers/verein/368/saison_id/2021
264,spain,https://transfermarkt.com/real-sociedad-san-sebastian/transfers/verein/681/saison_id/2021
265,spain,https://transfermarkt.com/fc-villarreal/transfers/verein/1050/saison_id/2021
266,spain,https://transfermarkt.com/real-betis-sevilla/transfers/verein/150/saison_id/2021
267,spain,https://transfermarkt.com/athletic-bilbao/transfers/verein/621/saison_id/2021
268,spain,https://transfermarkt.com/fc-granada/transfers/verein/16795/saison_id/2021
269,spain,https://transfermarkt.com/celta-vigo/transfers/verein/940/saison_id/2021
270,spain,https://transfermarkt.com/fc-cadiz/transfers/verein/2687/saison_id/2021
271,spain,https://transfermarkt.com/espanyol-barcelona/transfers/verein/714/saison_id/2021
272,spain,https://transfermarkt.com/ca-osasuna/transfers/verein/331/saison_id/2021
273,spain,https://transfermarkt.com/ud-levante/transfers/verein/3368/saison_id/2021
274,spain,https://transfermarkt.com/fc-valencia/transfers/verein/1049/saison_id/2021
275,spain,https://transfermarkt.com/fc-getafe/transfers/verein/3709/saison_id/2021
276,spain,https://transfermarkt.com/deportivo-alaves/transfers/verein/1108/saison_id/2021
277,spain,https://transfermarkt.com/fc-elche/transfers/verein/1531/saison_id/2021
278,spain,https://transfermarkt.com/rcd-mallorca/transfers/verein/237/saison_id/2021
279,spain,https://transfermarkt.com/rayo-vallecano/transfers/verein/367/saison_id/2021
280,germany,https://transfermarkt.com/fc-bayern-munchen/transfers/verein/27/saison_id/2015
281,germany,https://transfermarkt.com/vfl-wolfsburg/transfers/verein/82/saison_id/2015
282,germany,https://transfermarkt.com/borussia-monchengladbach/transfers/verein/18/saison_id/2015
283,germany,https://transfermarkt.com/bayer-04-leverkusen/transfers/verein/15/saison_id/2015
284,germany,https://transfermarkt.com/fc-augsburg/transfers/verein/167/saison_id/2015
285,germany,https://transfermarkt.com/fc-schalke-04/transfers/verein/33/saison_id/2015
286,germany,https://transfermarkt.com/borussia-dortmund/transfers/verein/16/saison_id/2015
287,germany,https://transfermarkt.com/tsg-1899-hoffenheim/transfers/verein/533/saison_id/2015
288,germany,https://transfermarkt.com/eintracht-frankfurt/transfers/verein/24/saison_id/2015
289,germany,https://transfermarkt.com/sv-werder-bremen/transfers/verein/86/saison_id/2015
290,germany,https://transfermarkt.com/1-fsv-mainz-05/transfers/verein/39/saison_id/2015
291,germany,https://transfermarkt.com/1-fc-koln/transfers/verein/3/saison_id/2015
292,germany,https://transfermarkt.com/hannover-96/transfers/verein/42/saison_id/2015
