,team_id,season_id,league_id,team_income_fee,team_expenditure_fee,overall_balance_fee
221,940,2017,3,13200000,26800000,-13600000
222,472,2017,3,25700000,350000,25350000
223,150,2017,3,27070000,38500000,-11430000
224,1244,2017,3,130000,6550000,-6420000
225,3368,2017,3,13850000,10000000,3850000
226,12321,2017,3,0,8750000,-8750000
227,3709,2017,3,1600000,12900000,-11300000
228,27,2017,4,32250000,116500000,-84250000
229,23826,2017,4,24540000,63500000,-38960000
230,16,2017,4,275950000,122590000,153360000
231,533,2017,4,45750000,14700000,31050000
232,3,2017,4,7450000,40000000,-32550000
233,44,2017,4,18000000,14000000,4000000
234,60,2017,4,27800000,19650000,8150000
235,86,2017,4,8900000,18600000,-9700000
236,18,2017,4,31080000,37250000,-6170000
237,33,2017,4,7100000,49300000,-42200000
238,24,2017,4,4920000,19200000,-14280000
239,15,2017,4,91100000,51000000,40100000
240,167,2017,4,7900000,7550000,350000
241,41,2017,4,5550000,19000000,-13450000
242,39,2017,4,24850000,16550000,8300000
243,82,2017,4,36000000,72750000,-36750000
244,79,2017,4,7600000,30900000,-23300000
245,42,2017,4,250000,19000000,-18750000
246,800,2017,5,78040000,66590000,11450000
247,4171,2017,5,3980000,23480000,-19500000
248,1025,2017,5,0,13000000,-13000000
249,1390,2017,5,19880000,31090000,-11210000
250,862,2017,5,17670000,2950000,14720000
251,4083,2017,5,0,3000000,-3000000
252,430,2017,5,93580000,79500000,14080000
253,252,2017,5,46720000,14170000,32550000
254,276,2017,5,8050000,3050000,5000000
255,46,2017,5,79240000,137630000,-58390000
256,506,2017,5,145650000,177600000,-31950000
257,398,2017,5,73920000,28250000,45670000
258,5,2017,5,39700000,186480000,-146780000
259,6195,2017,5,17450000,68000000,-50550000
260,12,2017,5,156500000,91300000,65200000
261,1038,2017,5,71460000,51000000,20460000
262,6574,2017,5,19250000,37100000,-17850000
263,416,2017,5,79800000,26380000,53420000
264,410,2017,5,17700000,22590000,-4890000
265,1416,2017,6,8000000,6630000,1370000
266,1420,2017,6,26000000,12400000,13600000
267,40,2017,6,28250000,32600000,-4350000
268,1162,2017,6,6000000,6950000,-950000
269,2969,2017,6,15000000,5500000,9500000
270,855,2017,6,5950000,1380000,4570000
271,1082,2017,6,31100000,76500000,-45400000
272,1041,2017,6,119550000,58050000,61500000
273,244,2017,6,2750000,62000000,-59250000
274,347,2017,6,22850000,3600000,19250000
275,162,2017,6,199500000,122400000,77100000
276,969,2017,6,20800000,5700000,15100000
277,995,2017,6,10000000,11300000,-1300000
278,417,2017,6,27500000,26300000,1200000
279,583,2017,6,98400000,238000000,-139600000
280,273,2017,6,15800000,53900000,-38100000
281,618,2017,6,15500000,19300000,-3800000
282,667,2017,6,2000000,5400000,-3400000
283,415,2017,6,13000000,3500000,9500000
284,1095,2017,6,0,0,0
285,281,2018,2,57600000,78590000,-20990000
286,985,2018,2,30550000,82700000,-52150000
287,148,2018,2,5350000,0,5350000
288,31,2018,2,41320000,182200000,-140880000
289,631,2018,2,83250000,208800000,-125550000
290,11,2018,2,9100000,80150000,-71050000
291,1132,2018,2,8000000,33000000,-25000000
292,29,2018,2,28650000,99800000,-71150000
293,1003,2018,2,95800000,114600000,-18800000
294,762,2018,2,51050000,59750000,-8700000
295,873,2018,2,350000,11850000,-11500000
296,989,2018,2,20200000,91600000,-71400000
297,379,2018,2,13770000,100900000,-87130000
298,1010,2018,2,51840000,30100000,21740000
299,1237,2018,2,13620000,87120000,-73500000
300,1110,2018,2,12330000,50700000,-38370000
301,180,2018,2,26100000,62250000,-36150000
302,543,2018,2,23300000,112750000,-89450000
303,603,2018,2,0,40200000,-40200000
304,931,2018,2,5350000,116500000,-111150000
305,621,2018,3,80000000,32900000,47100000
306,13,2018,3,57900000,168000000,-110100000
307,1244,2018,3,24600000,18900000,5700000
308,1108,2018,3,9000000,10000000,-1000000
309,131,2018,3,146050000,141100000,4950000
310,3709,2018,3,5000000,27250000,-22250000
311,12321,2018,3,3300000,10200000,-6900000
312,3368,2018,3,41500000,26700000,14800000
313,940,2018,3,35700000,30000000,5700000
314,714,2018,3,30800000,22100000,8700000
315,150,2018,3,49300000,44500000,4800000
316,418,2018,3,136100000,164750000,-28650000
317,681,2018,3,32800000,12000000,20800000
318,1533,2018,3,7750000,8000000,-250000
319,368,2018,3,93800000,81050000,12750000
320,1049,2018,3,68800000,129200000,-60400000
321,1050,2018,3,54800000,92900000,-38100000
322,367,2018,3,13000000,12300000,700000
