player_id,season_id,left_team,joined_team,fee_of_transfer
184398,2015,Crewe Alexandra,Swansea City,-1.0
189070,2015,Blackburn Rovers,Swansea City,-1.0
374889,2015,ADO Den Haag,Swansea City,-1.0
169566,2015,Crewe Alexandra,Swansea City,-1.0
71292,2015,Swansea City,Newcastle United,16000000.0
120241,2015,Swansea City,FC Fulham,705000.0
488,2015,Swansea City,SV Werder Bremen,100000.0
89648,2015,Swansea City,Oldham Athletic,0.0
125467,2015,Swansea City,Vereinslos,0.0
164389,2015,Swansea City,FC Gillingham,0.0
70789,2015,Swansea City,UP Langreo,0.0
171260,2015,Swansea City,Oldham Athletic,1.0
298477,2015,Swansea City,Bristol Rovers,1.0
298477,2015,Swansea City,Newport County,1.0
66413,2015,Swansea City,AS Saint-Étienne,1.0
84481,2015,Swansea City,LOSC Lille,1.0
130216,2015,Swansea City,Mansfield Town,1.0
197910,2015,Swansea City,Yeovil Town,1.0
37011,2015,Swansea City,Leicester City,1.0
265471,2015,Swansea City,Blackburn Rovers,1.0
184398,2015,Swansea City,Crewe Alexandra,1.0
189070,2015,Swansea City,Blackburn Rovers,1.0
374889,2015,Swansea City,ADO Den Haag,1.0
169566,2015,Swansea City,Crewe Alexandra,1.0
63342,2015,Swansea City,Queens Park Rangers,-1.0
72768,2015,Swansea City,Benfica Lissabon,-1.0
130756,2015,FC Porto,Stoke City,24250000.0
86792,2015,Inter Mailand,Stoke City,17000000.0
81999,2015,Hannover 96,Stoke City,8000000.0
53173,2015,Bayer 04 Leverkusen,Stoke City,3800000.0
138335,2015,FC Midtjylland,Stoke City,600000.0
15760,2015,FC Barcelona,Stoke City,0.0
3146,2015,Aston Villa,Stoke City,0.0
107617,2015,Fleetwood Town,Stoke City,-1.0
242417,2015,Oxford United,Stoke City,-1.0
12516,2015,Bristol City,Stoke City,-1.0
73734,2015,Stoke City,FC Sevilla,8000000.0
2998,2015,Stoke City,Leicester City,4200000.0
225068,2015,Stoke City,Perth Glory,0.0
61012,2015,Stoke City,Scunthorpe United,0.0
242417,2015,Stoke City,Oxford United,1.0
13427,2015,Stoke City,Brighton & Hove Albion,1.0
107617,2015,Stoke City,Fleetwood Town,1.0
12516,2015,Stoke City,Bristol City,1.0
53173,2015,Stoke City,Bayer 04 Leverkusen,-1.0
29434,2015,FC Paris Saint-Germain,Crystal Palace,13900000.0
95435,2015,AFC Sunderland,Crystal Palace,10000000.0
95976,2015,Queens Park Rangers,Crystal Palace,4900000.0
46791,2015,Wolverhampton Wanderers,Crystal Palace,0.0
295073,2015,Hibernian FC,Crystal Palace,0.0
353674,2015,Doncaster Rovers,Crystal Palace,-1.0
29974,2015,Preston North End,Crystal Palace,-1.0
170322,2015,Nottingham Forest,Crystal Palace,-1.0
177953,2015,FC Bromley,Crystal Palace,-1.0
177953,2015,FC Stevenage,Crystal Palace,-1.0
261367,2015,Newport County,Crystal Palace,-1.0
183284,2015,FC Port Vale,Crystal Palace,-1.0
244125,2015,Plymouth Argyle,Crystal Palace,-1.0
170322,2015,Milton Keynes Dons,Crystal Palace,-1.0
135038,2015,Sheffield Wednesday,Crystal Palace,-1.0
45693,2015,Crystal Palace,AFC Bournemouth,5400000.0
33249,2015,Crystal Palace,Colchester United,0.0
61561,2015,Crystal Palace,Sheffield Wednesday,0.0
244222,2015,Crystal Palace,Welling United,0.0
12693,2015,Crystal Palace,Bolton Wanderers,0.0
13350,2015,Crystal Palace,Sheffield Wednesday,0.0
28801,2015,Crystal Palace,Kerala Blasters FC,0.0
177953,2015,Crystal Palace,FC Bromley,1.0
170322,2015,Crystal Palace,Nottingham Forest,1.0
261367,2015,Crystal Palace,Newport County,1.0
177953,2015,Crystal Palace,FC Stevenage,1.0
353674,2015,Crystal Palace,Doncaster Rovers,1.0
29974,2015,Crystal Palace,Preston North End,1.0
170322,2015,Crystal Palace,Milton Keynes Dons,1.0
244125,2015,Crystal Palace,Plymouth Argyle,1.0
135038,2015,Crystal Palace,Sheffield Wednesday,1.0
183284,2015,Crystal Palace,FC Port Vale,1.0
209781,2015,Lokomotiv Moskau,FC Everton,17900000.0
11111,2015,CA River Plate,FC Everton,12200000.0
129476,2015,FC Barcelona,FC Everton,6000000.0
184381,2015,Grasshopper Club Zürich,FC Everton,4000000.0
348623,2015,FC Barnsley,FC Everton,1400000.0
238988,2015,CA River Plate Montevideo,FC Everton,700000.0
52432,2015,Doncaster Rovers,FC Everton,-1.0
21333,2015,Sheffield Wednesday,FC Everton,-1.0
121260,2015,Charlton Athletic,FC Everton,-1.0
121260,2015,Wigan Athletic,FC Everton,-1.0
215840,2015,Wigan Athletic,FC Everton,-1.0
110860,2015,FC Fulham,FC Everton,-1.0
238988,2015,FC Brentford,FC Everton,-1.0
220755,2015,FC Walsall,FC Everton,-1.0
12763,2015,FC Everton,Norwich City,11000000.0
14259,2015,FC Everton,UD Las Palmas,0.0
3356,2015,FC Everton,AFC Bournemouth,0.0
156941,2015,FC Everton,Oxford United,0.0
203828,2015,FC Everton,Derry City,0.0
220755,2015,FC Everton,FC Walsall,1.0
121260,2015,FC Everton,Charlton Athletic,1.0
215840,2015,FC Everton,Wigan Athletic,1.0
52432,2015,FC Everton,Doncaster Rovers,1.0
238988,2015,FC Everton,FC Brentford,1.0
184381,2015,FC Everton,Grasshopper Club Zürich,1.0
121260,2015,FC Everton,Wigan Athletic,1.0
21333,2015,FC Everton,Sheffield Wednesday,1.0
110860,2015,FC Everton,FC Fulham,1.0
37647,2015,Olympique Marseille,West Ham United,15000000.0
48002,2015,Juventus Turin,West Ham United,11000000.0
104124,2015,Nottingham Forest,West Ham United,9500000.0
101213,2015,Sampdoria Genua,West Ham United,6000000.0
236953,2015,Leeds United,West Ham United,4800000.0
25742,2015,Hull City,West Ham United,4100000.0
186269,2015,Hamilton Academical FC,West Ham United,1300000.0
120630,2015,Fenerbahce,West Ham United,1000000.0
51321,2015,Birmingham City,West Ham United,0.0
135853,2015,Al-Jazira (Abu Dhabi),West Ham United,1.0
27394,2015,FC Barcelona,West Ham United,1.0
46831,2015,FC Metz,West Ham United,-1.0
264220,2015,Bradford City,West Ham United,-1.0
242606,2015,Bradford City,West Ham United,-1.0
186269,2015,Southend United,West Ham United,-1.0
183286,2015,Milton Keynes Dons,West Ham United,-1.0
183286,2015,Charlton Athletic,West Ham United,-1.0
157907,2015,Blackburn Rovers,West Ham United,-1.0
15921,2015,Norwich City,West Ham United,-1.0
4063,2015,West Ham United,FC Middlesbrough,7900000.0
46831,2015,West Ham United,Al-Nassr FC,4000000.0
15921,2015,West Ham United,Norwich City,3400000.0
26456,2015,West Ham United,AC Florenz,2100000.0
25742,2015,West Ham United,Beijing Renhe,1120000.0
207037,2015,West Ham United,Luton Town,0.0
191320,2015,West Ham United,Dundalk FC,0.0
214776,2015,West Ham United,Leyton Orient,0.0
3692,2015,West Ham United,Wigan Athletic,0.0
29091,2015,West Ham United,Vasco da Gama Rio de Janeiro,0.0
157907,2015,West Ham United,Blackburn Rovers,1.0
264220,2015,West Ham United,Bradford City,1.0
186269,2015,West Ham United,Southend United,1.0
242606,2015,West Ham United,Bradford City,1.0
207009,2015,West Ham United,Sligo Rovers,1.0
183286,2015,West Ham United,Milton Keynes Dons,1.0
183286,2015,West Ham United,Charlton Athletic,1.0
258311,2015,West Ham United,VVV-Venlo,1.0
15921,2015,West Ham United,Norwich City,1.0
27394,2015,West Ham United,FC Barcelona,-1.0
80197,2015,Zenit St. Petersburg,West Bromwich Albion,17000000.0
73482,2015,Hull City,West Bromwich Albion,11300000.0
85935,2015,Wigan Athletic,West Bromwich Albion,2100000.0
74590,2015,Queens Park Rangers,West Bromwich Albion,1.0
6855,2015,Al-Hilal Saudi FC,West Bromwich Albion,-1.0
54576,2015,CA San Lorenzo de Almagro,West Bromwich Albion,-1.0
22491,2015,Preston North End,West Bromwich Albion,-1.0
64308,2015,West Bromwich Albion,Olympiakos Piräus,5420000.0
36608,2015,West Bromwich Albion,Norwich City,4100000.0
54576,2015,West Bromwich Albion,CA San Lorenzo de Almagro,2000000.0
4241,2015,West Bromwich Albion,Aston Villa,1400000.0
45272,2015,West Bromwich Albion,Norwich City,0.0
137669,2015,West Bromwich Albion,Huddersfield Town,0.0
4115,2015,West Bromwich Albion,Derby County,0.0
22491,2015,West Bromwich Albion,Preston North End,1.0
74590,2015,West Bromwich Albion,Queens Park Rangers,-1.0
79642,2015,1.FSV Mainz 05,Leicester City,11000000.0
225083,2015,SM Caen,Leicester City,9000000.0
50477,2015,Atalanta Bergamo,Leicester City,7000000.0
19041,2015,SSC Neapel,Leicester City,7000000.0
214056,2015,FC Kopenhagen,Leicester City,6600000.0
292417,2015,Birmingham City,Leicester City,5100000.0
6636,2015,FC Schalke 04,Leicester City,0.0
121269,2015,Northampton Town,Leicester City,-1.0
251914,2015,FC Blackpool,Leicester City,-1.0
55687,2015,FC Middlesbrough,Leicester City,-1.0
67283,2015,Nottingham Forest,Leicester City,-1.0
229970,2015,Cardiff City,Leicester City,-1.0
3296,2015,Queens Park Rangers,Leicester City,-1.0
67283,2015,Bristol City,Leicester City,-1.0
272036,2015,Cambridge United,Leicester City,-1.0
229970,2015,Blackburn Rovers,Leicester City,-1.0
190514,2015,Oldham Athletic,Leicester City,-1.0
251914,2015,Cambridge United,Leicester City,-1.0
128906,2015,Bristol City,Leicester City,-1.0
316125,2015,Huddersfield Town,Leicester City,-1.0
33065,2015,Sheffield United,Leicester City,-1.0
169096,2015,Fleetwood Town,Leicester City,-1.0
33963,2015,Leicester City,FC Middlesbrough,5600000.0
108725,2015,Leicester City,Leeds United,3600000.0
50477,2015,Leicester City,AC Florenz,250000.0
272036,2015,Leicester City,FC Barnet,0.0
7520,2015,Leicester City,Olympiakos Piräus,0.0
163532,2015,Leicester City,Northampton Town,0.0
3273,2015,Leicester City,Milton Keynes Dons,0.0
10501,2015,Leicester City,Preston North End,0.0
134258,2015,Leicester City,Kidderminster Harriers,0.0
149237,2015,Leicester City,Standard Lüttich,0.0
272036,2015,Leicester City,Cambridge United,1.0
229970,2015,Leicester City,Blackburn Rovers,1.0
190514,2015,Leicester City,Oldham Athletic,1.0
251914,2015,Leicester City,Cambridge United,1.0
316125,2015,Leicester City,Huddersfield Town,1.0
169096,2015,Leicester City,Fleetwood Town,1.0
46580,2015,Leicester City,TSG 1899 Hoffenheim,1.0
121269,2015,Leicester City,Northampton Town,1.0
67283,2015,Leicester City,Bristol City,1.0
67283,2015,Leicester City,Nottingham Forest,1.0
251914,2015,Leicester City,FC Blackpool,1.0
229970,2015,Leicester City,Cardiff City,1.0
3296,2015,Leicester City,Queens Park Rangers,1.0
128906,2015,Leicester City,Bristol City,1.0
55687,2015,Leicester City,FC Middlesbrough,1.0
33065,2015,Leicester City,Sheffield United,1.0
49499,2015,PSV Eindhoven,Newcastle United,20000000.0
51152,2015,RSC Anderlecht,Newcastle United,18500000.0
184892,2015,Olympique Marseille,Newcastle United,18350000.0
203348,2015,RSC Anderlecht,Newcastle United,12000000.0
51540,2015,FC Girondins Bordeaux,Newcastle United,6000000.0
75287,2015,AS Rom,Newcastle United,1000000.0
251664,2015,Northampton Town,Newcastle United,360000.0
158697,2015,Coventry City,Newcastle United,-1.0
10642,2015,Wolverhampton Wanderers,Newcastle United,-1.0
251664,2015,FC Barnsley,Newcastle United,-1.0
76560,2015,Wigan Athletic,Newcastle United,-1.0
62052,2015,FC Millwall,Newcastle United,-1.0
226049,2015,Crawley Town,Newcastle United,-1.0
250426,2015,Coventry City,Newcastle United,-1.0
92381,2015,Cardiff City,Newcastle United,-1.0
168408,2015,York City,Newcastle United,-1.0
62052,2015,Glasgow Rangers,Newcastle United,-1.0
158697,2015,Glasgow Rangers,Newcastle United,-1.0
