match_id,team_id,scorrer_id,assist_id,goal_type
2698168,1003,79642,,Rechtsschuss
2698168,1003,6636,,Linksschuss
2698140,281,295330,192565,Linksschuss
2698141,1010,9988,112302,Eigentor
2698143,873,41416,,Kopfball
2698143,873,41416,145988,Kopfball
2698154,31,200512,80444,Kopfball
2698154,31,80444,131789,Rechtsschuss
2698154,31,119296,43530,Kopfball
2698154,31,131789,43530,Rechtsschuss
2698154,31,200512,131789,Rechtsschuss
2698154,31,49499,,Linksschuss
2698160,3008,22614,122223,Linksschuss
2698160,3008,9988,22614,Kopfball
2698175,1003,174915,171424,Kopfball
2698137,289,2998,49734,Eigentor
2698137,289,3875,,Linksschuss
2698166,873,50201,,Rechtsschuss
2698166,873,61592,,Linksschuss
2698166,873,50201,47995,Rechtsschuss
2698187,989,123682,146795,Elfmeter
2698187,989,146795,110858,Rechtsschuss
2698187,989,90836,146795,Rechtsschuss
2698187,989,177476,,Linksschuss
2698194,1010,35249,55619,Rechtsschuss
2698194,1010,37981,41112,Kopfball
2698194,1010,35249,41112,Kopfball
2698198,1132,148262,102258,Rechtsschuss
2698198,1132,34691,,Linksschuss
2698198,1132,45623,120565,Linksschuss
2698221,1003,197838,174915,Rechtsschuss
2698221,1003,56872,174915,Rechtsschuss
2698221,1003,197838,171424,Rechtsschuss
2698221,1003,197838,,Rechtsschuss
2698220,985,55735,99343,Rechtsschuss
2698203,29,68390,13507,Kopfball
2698203,29,67355,131978,Kopfball
2698205,984,80197,77274,Kopfball
2698205,984,80197,36814,Kopfball
2698205,984,80197,36814,Kopfball
2698224,148,69633,50174,Linksschuss
2698224,148,69633,95424,Linksschuss
2698224,148,77760,,Rechtsschuss
2698199,379,31835,104124,Elfmeter
2698230,289,52119,,Linksschuss
2698217,148,207929,95424,Linksschuss
2698217,148,50174,46001,Linksschuss
2698204,11,82442,35664,Kopfball
2698268,2288,35564,37011,Linksschuss
2698262,289,3875,210081,Elfmeter
2698262,289,3875,200512,Elfmeter
2698267,512,45861,28990,Linksschuss
2698267,512,4072,28990,Rechtsschuss
2698251,641,59323,215118,Linksschuss
2698254,984,3547,40567,Linksschuss
2698254,984,36814,,Linksschuss
2698390,11,242631,40433,Rechtsschuss
2698417,631,112515,,Kopfball
2698417,631,50202,,Rechtsschuss
2698417,631,8806,,Rechtsschuss
2698279,1010,65477,157501,Kopfball
2698279,1010,157501,41112,Kopfball
2698273,148,132098,91845,Elfmeter
2698297,985,44068,182877,Linksschuss
2698297,985,182877,4,Rechtsschuss
2698289,512,51452,312017,Rechtsschuss
2698413,29,126665,68390,Rechtsschuss
2698413,29,96341,33639,Rechtsschuss
2698323,1010,65477,26456,Elfmeter
2698304,1003,197838,61560,Rechtsschuss
2698304,1003,73491,,Rechtsschuss
2698304,1003,197838,6636,Kopfball
2698306,3008,234803,37920,Linksschuss
2698306,3008,44327,37920,Kopfball
2698303,1003,174915,61560,6. Saisontor
2698303,1003,197838,61560,10. Saisontor
2698315,1010,157501,65477,Rechtsschuss
2698315,1010,65477,157501,Rechtsschuss
2698422,11,35664,,6. Saisontor
2698422,11,33713,35664,10. Saisontor
2698422,11,82442,143424,9. Saisontor
2698320,31,80444,131789,Rechtsschuss
2698320,31,148368,49499,Kopfball
2698345,148,207929,91845,Rechtsschuss
2698345,148,175722,,Rechtsschuss
2698345,148,91845,69633,Linksschuss
2698345,148,91845,95810,Rechtsschuss
2698412,989,91059,110858,Rechtsschuss
2698343,29,13520,67355,Kopfball
2698343,29,74810,131978,Eigentor
2698343,29,96341,13507,Linksschuss
2698393,631,50202,44779,Rechtsschuss
2698393,631,27511,112515,Kopfball
2698393,631,44779,8806,Kopfball
2698393,631,44779,65278,Rechtsschuss
2698371,985,289844,122153,Rechtsschuss
2698371,985,122153,,Linksschuss
2698391,3008,122223,209781,Linksschuss
2698414,631,52769,,Rechtsschuss
2698414,631,50202,44779,Linksschuss
2698414,631,65278,,Kopfball
2698414,631,179184,65278,Rechtsschuss
2698414,631,179184,8806,Linksschuss
2698428,11,191217,67063,Rechtsschuss
2698428,11,40433,67063,Rechtsschuss
2698428,11,50057,35664,Rechtsschuss
2872123,1010,35249,41112,Kopfball
2872123,1010,127187,,Rechtsschuss
2872123,1010,76799,,Kopfball
2872119,29,3332,306024,Kopfball
2872198,281,26399,241641,Elfmeter
2872198,281,54781,192565,Kopfball
2872198,281,192565,88755,Linksschuss
2872128,1003,79642,,Rechtsschuss
2872128,1003,177907,171424,Kopfball
2872134,180,112343,129078,Linksschuss
2872134,180,36139,28973,Elfmeter
2872134,180,129627,81789,Elfmeter
2872127,1110,123951,49501,Rechtsschuss
2872133,148,179184,69633,Eigentor
2872130,281,134425,,Rechtsschuss
2872135,989,61819,,Linksschuss
2872141,762,81999,186997,Rechtsschuss
2872141,762,98240,92469,Kopfball
2872141,762,4,246968,Linksschuss
2872140,985,258923,55735,Rechtsschuss
2872140,985,39679,141660,Rechtsschuss
2872136,631,8806,128223,Rechtsschuss
2872136,631,128223,57500,Kopfball
2872144,984,53360,111508,Kopfball
2872139,31,131789,256178,Kopfball
2872139,31,200512,131789,Rechtsschuss
2872139,31,148455,,Linksschuss
2872139,31,47082,148455,Kopfball
2872142,148,207929,,Rechtsschuss
2872150,281,26399,88755,Rechtsschuss
2872150,281,363205,88755,Kopfball
2872150,281,363205,26399,Linksschuss
2872150,281,192565,157495,Linksschuss
2872150,281,192565,95424,Linksschuss
2872145,11,67063,94005,Kopfball
2872145,11,93720,67063,Rechtsschuss
2872145,11,67063,50057,Linksschuss
2872146,1237,82873,209212,Linksschuss
2872146,1237,82873,112668,Rechtsschuss
2872146,1237,112668,82873,Kopfball
2872149,1003,197838,,Elfmeter
2872152,512,45660,62049,Rechtsschuss
2872152,512,45660,86792,Kopfball
2872147,1132,108725,,Rechtsschuss
2872154,379,101213,,Linksschuss
2872154,379,45403,,Linksschuss
2872155,989,29975,195652,Linksschuss
2872155,989,3875,195652,Rechtsschuss
2872158,1110,90583,340394,Rechtsschuss
2872159,31,148455,119296,Linksschuss
2872161,762,186997,92469,Linksschuss
2872161,762,183318,92469,Kopfball
2872160,985,33544,74683,Rechtsschuss
2872160,985,55735,96341,Rechtsschuss
2872160,985,96341,141660,Rechtsschuss
2872160,985,182877,56818,Elfmeter
2872174,379,50935,33829,Kopfball
2872174,379,66934,181380,Kopfball
2872168,29,209781,314210,Rechtsschuss
2872168,29,209781,,2. Saisontor
2872170,281,192565,35518,Linksschuss
2872170,281,134425,192565,Rechtsschuss
2872170,281,134425,26399,Linksschuss
2872170,281,26399,192565,Kopfball
2872170,281,50362,35518,Rechtsschuss
2872173,2288,331726,,Rechtsschuss
2872169,1003,79642,,Rechtsschuss
2872169,1003,197838,,Kopfball
2872166,1237,112668,49755,Rechtsschuss
2872165,11,93720,,Kopfball
2872165,11,93720,50057,Elfmeter
2872180,985,44068,258923,Linksschuss
2872180,985,39679,14086,Rechtsschuss
2872180,985,39679,258923,Kopfball
2872180,985,96341,182877,Linksschuss
2872182,512,62049,86792,Kopfball
2872182,512,4072,45660,Linksschuss
2872183,984,80197,45184,Linksschuss
2872183,984,42412,,Kopfball
2872184,379,120610,181380,Rechtsschuss
2872176,11,43003,,Rechtsschuss
2872176,11,242631,40433,Rechtsschuss
2872181,762,81999,,Linksschuss
2872186,1132,108725,89231,Kopfball
2872187,873,57500,,Eigentor
2872187,873,145988,47713,Rechtsschuss
2872190,281,363205,95424,Rechtsschuss
2872190,281,134425,192565,Rechtsschuss
2872190,281,35518,134425,Linksschuss
2872190,281,363205,88755,Linksschuss
2872190,281,26267,50362,Distanzschuss
2872190,281,192565,88755,Linksschuss
2872190,281,241641,134425,Linksschuss
2872192,2288,331726,121279,Rechtsschuss
2872192,2288,331726,108354,Rechtsschuss
2872193,148,69633,,Linksschuss
2872194,1010,65477,378710,Elfmeter
2872194,1010,73484,,Rechtsschuss
2872185,1237,149237,82873,Linksschuss
2872191,180,112343,129078,Linksschuss
2872191,180,112343,37304,Elfmeter
2872188,1003,171424,174915,Rechtsschuss
2872195,631,65278,50202,Rechtsschuss
2872195,631,179184,65278,Kopfball
2872195,631,57500,52769,Kopfball
2872195,631,179184,182618,Rechtsschuss
2872197,1110,123951,,Linksschuss
2872197,1110,90583,48870,Linksschuss
2872199,762,338424,,Kopfball
2872201,512,62049,45660,Linksschuss
2872202,2288,287431,108354,Rechtsschuss
2872200,180,232271,,Rechtsschuss
2872196,29,3332,,Rechtsschuss
2872196,29,209781,,Linksschuss
2872203,148,132098,95810,Linksschuss
2872203,148,91845,132098,Linksschuss
2872203,148,207929,,Rechtsschuss
2872203,148,132098,,Rechtsschuss
2872212,985,182877,96341,Linksschuss
2872206,11,94005,35664,Linksschuss
2872206,11,50057,94005,Linksschuss
2872209,873,74300,61842,Elfmeter
2872209,873,145988,202886,Rechtsschuss
2872211,31,47082,,Linksschuss
2872211,31,131789,3333,Kopfball
2872211,31,49499,148455,Rechtsschuss
2872214,984,53360,3291,Rechtsschuss
2872214,984,77274,,Rechtsschuss
2872207,1237,45693,82873,Kopfball
2872210,1003,197838,171424,Rechtsschuss
2872210,1003,292417,6636,Rechtsschuss
2872208,1132,148262,89231,Rechtsschuss
2872221,512,86792,45660,Linksschuss
2872221,512,4072,86792,Kopfball
2872217,1110,77001,101682,Rechtsschuss
2872223,148,91845,,Linksschuss
2872218,281,88755,26267,Linksschuss
2872218,281,26399,134425,Elfmeter
2872218,281,363205,35518,Rechtsschuss
2872215,631,128223,57500,Kopfball
2872216,29,209781,,Linksschuss
2872216,29,306024,13507,Kopfball
2872216,29,13507,14221,Elfmeter
2872226,11,88590,35664,Kopfball
2872226,11,40433,93720,Rechtsschuss
2872225,989,123682,195652,Kopfball
2872225,989,123682,29975,Rechtsschuss
2872225,989,55742,,Linksschuss
2872225,989,123682,91059,Rechtsschuss
2872228,1132,40613,128229,Kopfball
2872228,1132,63200,148262,Rechtsschuss
2872229,873,41416,,Rechtsschuss
2872229,873,145988,92572,Rechtsschuss
2872231,31,148455,49499,Linksschuss
2872231,31,148455,80444,Linksschuss
2872231,31,80444,,Rechtsschuss
2872232,985,182877,122153,Kopfball
2872232,985,103427,14086,Kopfball
2872232,985,122153,258923,Rechtsschuss
2872232,985,96341,44068,Linksschuss
2872233,1010,207014,120565,Linksschuss
2872233,1010,378710,207014,Linksschuss
2872227,1237,82873,79027,Rechtsschuss
2872227,1237,147094,,Rechtsschuss
2872244,379,66934,135853,Kopfball
2872236,873,202886,61842,Rechtsschuss
2872236,873,47713,,Rechtsschuss
2872239,985,148153,14086,Eigentor
2872243,148,132098,207929,Linksschuss
2872238,31,148455,143424,Rechtsschuss
2872241,180,36139,40611,Linksschuss
2872241,180,129627,40611,Kopfball
2872241,180,129627,36139,Kopfball
2872241,180,28973,181579,Rechtsschuss
2872237,1110,54781,57842,Eigentor
2872248,1003,197838,61560,Rechtsschuss
2872248,1003,171424,274839,Linksschuss
2872249,1010,65477,112302,Elfmeter
2872249,1010,127187,135057,Rechtsschuss
2872250,984,65976,44792,Kopfball
2872250,984,387331,77274,Linksschuss
2872245,989,91059,,Linksschuss
2872246,11,93720,50057,Linksschuss
2872246,11,82442,35664,Linksschuss
2872246,11,40433,35664,Rechtsschuss
2872246,11,35664,50057,Linksschuss
2872246,11,82442,94005,Linksschuss
2872251,631,86202,,Kopfball
2872252,29,3332,,Elfmeternachschuss
2872252,29,3332,258883,Rechtsschuss
2872252,29,3332,,Distanzschuss
2872252,29,67355,90466,Kopfball
2872253,281,88755,,Direkter Freistoß
2872253,281,134425,88755,Rechtsschuss
2872258,631,50202,,Rechtsschuss
2872258,631,128223,59866,Kopfball
2872258,631,50202,59866,Elfmeter
2872257,1237,45693,119269,Elfmeter
2872259,29,90466,306024,Rechtsschuss
2872259,29,306024,3332,Linksschuss
2872260,1003,292417,,Linksschuss
2872262,512,86792,51452,Linksschuss
2872262,512,62049,4072,Linksschuss
2872263,1010,81512,73484,Kopfball
2872256,11,93720,50057,Rechtsschuss
2872255,989,146795,29975,Rechtsschuss
2872261,281,54781,363205,Rechtsschuss
2872261,281,35518,88755,Linksschuss
2872274,379,41384,135853,Linksschuss
2872265,1132,55291,89231,Linksschuss
2872266,873,74300,145988,Elfmeter
2872266,873,62688,29434,Linksschuss
2872267,1110,238639,57842,Brust
2872267,1110,238639,52059,Kopfball
2872272,2288,81808,,Rechtsschuss
2872273,148,45861,,Eigentor
2872273,148,91845,207929,Rechtsschuss
2872273,148,132098,192765,Kopfball
2872273,148,132098,,Linksschuss
2872273,148,69633,91845,Linksschuss
2872270,762,81999,196522,Rechtsschuss
2872270,762,196522,338424,Linksschuss
2872271,180,129627,36139,Rechtsschuss
2872268,31,148455,256178,Linksschuss
2872269,985,258923,,Rechtsschuss
2872275,1132,63200,55291,Rechtsschuss
2872276,873,46791,,Rechtsschuss
2872276,873,41416,,Linksschuss
2872277,1110,90583,238809,Kopfball
2872283,180,81789,40611,Kopfball
2872278,985,96341,44068,Kopfball
2872284,148,127032,249126,Rechtsschuss
2872284,148,91845,69633,Kopfball
2872286,11,35664,,Linksschuss
2872288,631,112515,,Direkter Freistoß
2872293,1010,127187,,Rechtsschuss
2872291,281,53622,192565,Kopfball
2872291,281,88755,53622,Linksschuss
2872291,281,134425,192565,Rechtsschuss
2872291,281,134425,241641,Rechtsschuss
2872294,984,3291,,Linksschuss
2872289,29,306024,,Elfmeternachschuss
2872289,29,90466,3332,Distanzschuss
2872289,29,3332,258883,Elfmeter
2872295,11,40433,191217,Kopfball
2872295,11,111455,242631,Distanzschuss
2872295,11,35664,93720,Linksschuss
2872296,1237,82873,112668,Rechtsschuss
2872299,281,26399,26267,Kopfball
2872299,281,134425,26399,Rechtsschuss
2872299,281,26399,241641,Kopfball
2872299,281,145707,134425,Linksschuss
2872300,180,129627,253765,Kopfball
2872301,512,51452,4072,Linksschuss
2872301,512,45660,51452,Linksschuss
2872301,512,312017,45660,Rechtsschuss
2872302,2288,108354,121279,Rechtsschuss
2872303,379,41384,,Rechtsschuss
2872303,379,45403,48066,Rechtsschuss
2872298,1003,197838,171424,8. Saisontor
2872298,1003,177907,61560,2. Saisontor
2872312,148,132098,69633,Kopfball
2872312,148,132098,91845,Linksschuss
2872312,148,207929,91845,Rechtsschuss
2872312,148,91845,207929,Rechtsschuss
2872312,148,132098,207929,Linksschuss
2872305,989,44983,91059,Linksschuss
2872305,989,177476,44983,Linksschuss
2872305,989,123682,177476,Kopfball
2872306,631,128223,57500,Kopfball
2872306,631,112515,8806,Kopfball
2872308,1110,157368,123397,Linksschuss
2872310,985,141660,14086,Rechtsschuss
2872310,985,141660,,Rechtsschuss
2872313,1010,129893,,Rechtsschuss
2872313,1010,16911,127187,Eigentor
2872309,31,80444,148455,Rechtsschuss
2872309,31,131789,80444,Rechtsschuss
2872309,31,314353,,Rechtsschuss
2872309,31,131789,148455,Rechtsschuss
2872309,31,143424,,Rechtsschuss
2872307,873,61842,145988,Linksschuss
2872307,873,61592,61842,Kopfball
2872315,989,146795,91059,2. Saisontor
2872315,989,146795,61841,3. Saisontor
2872316,631,86202,52769,2. Saisontor
2872316,631,73491,,1. Saisontor
2872316,631,65278,52769,4. Saisontor
2872316,631,52769,,Elfmeter
2872316,631,173859,,1. Saisontor
2872319,31,148455,200512,16. Saisontor
2872319,31,148455,3333,17. Saisontor
2872323,1010,135057,,1. Saisontor
2872324,984,53360,215118,Elfmeter
2872322,148,91845,111630,7. Saisontor
2872327,1132,89231,48078,Kopfball
2872329,1003,171424,61560,Linksschuss
2872329,1003,174915,171424,Rechtsschuss
2872329,1003,61560,,Rechtsschuss
2872331,180,37304,60583,Rechtsschuss
2872334,379,48066,92571,Kopfball
2872334,379,48066,41384,Rechtsschuss
2872330,281,134425,192565,Linksschuss
2872330,281,81512,,Eigentor
2872330,281,26399,,Rechtsschuss
2872325,11,74223,,Linksschuss
2872325,11,191217,,Rechtsschuss
2872337,873,46791,50201,Linksschuss
2872338,1110,287167,123951,Linksschuss
2872341,762,81999,,Rechtsschuss
2872343,1010,120565,,Kopfball
2872343,1010,127187,65477,7. Saisontor
2872344,984,42412,53360,Kopfball
2872344,984,121477,36814,Kopfball
2872342,148,91845,127032,Rechtsschuss
2872342,148,132098,91845,Rechtsschuss
2872342,148,132098,175722,Linksschuss
2872342,148,69633,207929,Rechtsschuss
2872335,989,123682,146795,Linksschuss
2872335,989,195652,123682,Rechtsschuss
2872339,31,143424,131789,Rechtsschuss
2872339,31,131789,143424,Rechtsschuss
2872339,31,200512,148455,Linksschuss
2872339,31,148455,,Linksschuss
2872340,985,33544,122153,Linksschuss
2872340,985,182877,122153,Rechtsschuss
2872340,985,96341,182877,Linksschuss
2872345,11,43003,111455,Kopfball
2872345,11,242631,43003,Rechtsschuss
2872345,11,76277,43003,Rechtsschuss
2872345,11,93720,35664,Rechtsschuss
2872348,29,209781,33713,Rechtsschuss
2872349,1003,197838,,Elfmeter
2872349,1003,171424,56810,Linksschuss
2872352,512,51452,45660,Rechtsschuss
2872352,512,62049,86792,Rechtsschuss
2872354,379,50935,,Linksschuss
2872350,281,26399,88755,Kopfball
2872350,281,26399,134425,Elfmeter
2872350,281,26399,192565,Linksschuss
2872351,180,341429,,Eigentor
2872356,2288,122223,287431,Linksschuss
2872356,2288,108354,,Linksschuss
2872356,2288,122223,,Rechtsschuss
2872357,379,31835,50935,Elfmeter
2872359,29,33713,90466,Rechtsschuss
2872359,29,33713,118534,Rechtsschuss
2872361,762,183318,281404,Kopfball
2872362,180,163744,,Linksschuss
2872360,281,26267,88755,Linksschuss
2872360,281,88755,134425,Linksschuss
2872360,281,26399,134425,Rechtsschuss
2872364,148,69633,,Linksschuss
2872364,148,117996,,Eigentor
2872368,1132,89231,102258,Linksschuss
2872365,989,91059,,Rechtsschuss
2872365,989,291422,195652,Kopfball
2872367,1237,45693,82873,Rechtsschuss
2872367,1237,147094,,Rechtsschuss
2872367,1237,82873,79027,Rechtsschuss
2872370,1003,197838,295330,Rechtsschuss
2872372,985,96341,44068,Linksschuss
2872372,985,40433,,Elfmeternachschuss
2872374,984,111524,36814,Kopfball
2872374,984,80197,36814,Kopfball
2872366,11,50057,55735,Rechtsschuss
2872366,11,76277,88590,Kopfball
2872366,11,50057,242631,Rechtsschuss
2872366,11,58864,55735,Linksschuss
2872366,11,50057,55735,Rechtsschuss
2872369,873,74300,50201,Elfmeter
2872371,31,148455,,Linksschuss
2872371,31,148455,,Linksschuss
2872373,1010,65477,129476,Elfmeter
