match_id,team_id,kicker_id,gk_id,gk,kicker
3047866,583,48280,296802,Walter Benítez,Edinson Cavani
3047604,1082,167850,182906,Mike Maignan,Memphis Depay
3047478,417,266359,296802,Walter Benítez,Benjamin Bourigeaud
3394650,995,560725,79422,Keylor Navas,Abdoul Kader Bamba
3394644,2969,388165,274958,Saturnin Allagbé,Yoane Wissa
2701647,995,190780,39910,Stéphane Ruffier,Emiliano Sala
2587000,273,76293,5308,Cédric Carrasso,Giovanni Sio
2735650,347,122797,77383,Eiji Kawashima,Andy Delort
2586839,273,148955,182906,Mike Maignan,Paul-Georges Ntep
2609712,40,87479,318507,Paul Bernardoni,Alexander Söderlund
2735557,415,95732,37760,Vincent Enyeama,Martin Braithwaite
2586877,583,4,48870,Jonas Lössl,Zlatan Ibrahimović
2701674,417,45146,60561,Anthony Lopes,Mario Balotelli
2702823,1082,84481,22628,Benoît Costil,Éder
3614887,410,406625,85528,Marco Silvestri,Lautaro Martínez
2586908,1421,41242,182906,Mike Maignan,David N'Gog
2609840,1420,95732,93730,Alexandre Letellier,Martin Braithwaite
2716695,1158,146805,112822,Karl-Johan Johnsson,Majeed Waris
2609844,1095,35099,57134,Matthieu Dreyer,Steven Fletcher
3614897,607,393804,80894,Lukasz Skorupski,Sofian Kiyine
2600642,1162,122797,45672,Kevin Trapp,Andy Delort
3614907,410,308278,85528,Marco Silvestri,Rey Manaj
3394659,347,205587,395671,Anthony Racioppi,Opa Nguette
3394659,347,355641,56809,Alexandre Oukidja,Mounir Chouiar
3394655,1041,236045,60561,Anthony Lopes,Denis Bouanga
3394995,29,68290,357047,Gautier Larsonneur,Neymar
3589428,40,325223,344591,Gaëtan Poussin,Mama Baldé
3394804,1421,74297,190263,Predrag Rajkovic,Gaël Kakuta
3395001,618,192774,696849,Etienne Green,Moussa Konaté
3395002,995,122797,357117,Alban Lafont,Andy Delort
3589208,667,27389,190263,Predrag Rajkovic,Kévin Gameiro
3589445,969,127156,296802,Walter Benítez,Téji Savanier
3589224,1082,533738,357117,Alban Lafont,Jonathan David
3394676,1158,127156,189744,Paul Nardi,Téji Savanier
3394817,969,127156,163568,Alfred Gomis,Téji Savanier
3589457,40,281319,247915,Jonas Omlin,Alberth Elis
3394830,162,146854,357047,Gautier Larsonneur,Wissam Ben Yedder
3394684,347,202318,60561,Anthony Lopes,Farid Boulaya
3589479,667,27389,27490,Jean-Louis Leca,Kévin Gameiro
3394694,667,450417,77383,Eiji Kawashima,Dylan Bronn
3394703,29,238639,190263,Predrag Rajkovic,Steve Mounié
3589505,1421,316137,576033,Dogan Alemdar,Moussa Doumbia
3394718,618,77826,190786,Baptiste Reynet,Ryad Boudebouz
3394907,618,46104,465836,Stefan Bajic,Stevan Jovetic
3588916,417,418659,195778,Alexander Nübel,Amine Gouiri
3394732,1420,37647,318507,Paul Bernardoni,Dimitri Payet
3589555,995,18909,357117,Alban Lafont,Jimmy Briand
3394740,667,283994,190786,Baptiste Reynet,Ludovic Ajorque
3394920,1160,234802,696849,Etienne Green,Renaud Ripart
3394931,347,289587,182906,Mike Maignan,Aaron Leya Iseka
3588931,1158,418659,189744,Paul Nardi,Amine Gouiri
3394922,162,146854,274958,Saturnin Allagbé,Wissam Ben Yedder
3394932,1160,314940,190786,Baptiste Reynet,Dimitri Liénard
3394756,244,184892,190786,Baptiste Reynet,Florian Thauvin
3394758,995,74297,357117,Alban Lafont,Gaël Kakuta
3394761,667,77826,77383,Eiji Kawashima,Ryad Boudebouz
3589365,1421,709726,344591,Gaëtan Poussin,Hugo Ekitiké
3589600,63,594991,60561,Anthony Lopes,Mohamed Bayo
3589403,995,68290,357117,Alban Lafont,Neymar
3589405,1421,175014,190263,Predrag Rajkovic,Youcef Belaïli
3219118,180,92469,95976,Alex McCarthy,Matt Ritchie
3219377,1123,258923,33027,Tim Krul,Marcus Rashford
3219377,1123,182877,33027,Tim Krul,Anthony Martial
2872381,512,28990,128969,Mathew Ryan,Charlie Adam
3050478,29,90466,192279,Kepa Arrizabalaga,Gylfi Sigurdsson
2578080,631,85314,19059,Heurelho Gomes,Oscar
2577981,989,45693,19059,Heurelho Gomes,Glenn Murray
2698240,180,132098,52570,Fraser Forster,Harry Kane
2578193,379,65477,71271,Adrián,Troy Deeney
3219146,989,134294,427568,Aaron Ramsdale,Danny Ings
3219228,148,53622,17965,Hugo Lloris,Ilkay Gündogan
3219216,1003,26399,16911,Kasper Schmeichel,Sergio Agüero
2718874,331,59561,57693,Mario Fernández,Dani Parejo
2718985,2448,69006,29559,Guillermo Ochoa,Lacina Traore
2594539,714,37834,58497,Alberto García,Felipe Caicedo
2899562,1244,76273,27493,Iván Cuéllar,Manu García
2594635,131,68290,44062,Antonio Adán,Neymar
3079384,3368,252677,64000,Tomas Vaclik,José Luis Morales
3421813,11,102017,72476,Bernd Leno,Jorginho
3592041,11,58864,111873,Emiliano Martínez,Pierre-Emerick Aubameyang
2594764,681,153238,229604,Gerónimo Rulli,Jonathan Viera
2899873,368,25557,226012,David Soria,Sergio Ramos
2899872,3709,57825,207834,Bono,Jorge Molina
2594471,621,28003,7874,Gorka Iraizoz,Lionel Messi
2899707,131,28003,8184,Rubén Martínez,Lionel Messi
2718953,368,46104,7874,Gorka Iraizoz,Stevan Jovetic
2719057,1084,199369,207302,Sergio Rico,Sandro Ramírez
3079533,1050,315110,226012,David Soria,Karl Toko Ekambi
2899626,150,145769,111819,Neto,Sergio León
3451192,621,34601,234811,Rui Silva,Raúl García
3208791,1049,177467,146227,Jasper Cillessen,Gerard Moreno
2704353,04,45660,61989,Michael Esser,Eric Maxim Choupo-Moting
3209979,1533,154059,118997,Aitor Fernández,Charles
3210125,714,506248,34370,Diego López,Edu Expósito
3080802,131,28003,65263,Jordi Masip,Lionel Messi
3607628,1050,177467,121483,Jan Oblak,Gerard Moreno
3451410,331,63056,227805,Jaume Doménech,Roberto Torres
2704269,16,58864,24112,Rune Jarstein,Pierre-Emerick Aubameyang
2581659,1,58358,85864,Loris Karius,Thomas Müller
3451435,1531,149231,121483,Jan Oblak,Fidel
3413178,167,269878,78339,Rafal Gikiewicz,Marcus Ingvartsen
3412953,10,78147,39015,Ralf Fährmann,Fabian Klos
3413016,1,36182,84938,Timo Horn,Max Kruse
3412947,16,418560,41323,Andreas Luthe,Erling Haaland
3413173,1899,50512,55089,Oliver Baumann,Anthony Modeste
2871856,60,7971,93763,Alexander Schwolow,Salomon Kalou
2604338,1909,130382,22318,Federico Marchetti,Jerry Mbakogu
2604338,1909,130382,22318,Federico Marchetti,Jerry Mbakogu
2726560,1038,22328,110923,Mattia Perin,Fabio Quagliarella
2872085,04,193782,21327,Ron-Robert Zieler,Lucas Alario
2726568,398,5825,22318,Federico Marchetti,Marco Borriello
3588421,18,242086,42205,Yann Sommer,Patrik Schick
3588421,18,125858,42205,Yann Sommer,Kerem Demirbay
2871677,86,18021,260053,Jiri Pavlenka,Paul Verhaegh
2871726,82,4360,108880,Koen Casteels,Arjen Robben
3203633,18,167329,55089,Oliver Baumann,Alassane Plea
3413098,79,245537,257814,Gregor Kobel,Nabil Bentaleb
2604058,506,122153,199976,Marco Sportiello,Paul Pogba
3588672,79,369567,160929,Marvin Schwäbe,Sasa Kalajdzic
2871835,82,18021,39015,Ralf Fährmann,Paul Verhaegh
3203468,1,182932,78339,Rafal Gikiewicz,Davy Klaassen
2604188,5,68863,315858,Gianluigi Donnarumma,Mauro Icardi
2871573,24,102226,48015,Lukas Hradecky,Thorgan Hazard
2871564,27,159471,40680,Sven Ulreich,Serge Gnabry
3203681,1899,112935,55089,Oliver Baumann,Mark Uth
3058479,04,228433,61989,Michael Esser,Wendell
2897381,5,294808,21891,Stefano Sorrentino,Franck Kessié
2726637,398,80351,22318,Federico Marchetti,Josip Ilicic
3433530,506,294808,44058,Wojciech Szczesny,Franck Kessié
2897163,506,83877,5023,Gianluigi Buffon,Diego Farias
3433342,1038,40433,256339,Emil Audero,Alexis Sánchez
3081143,749,255901,197929,Ivan Provedel,Rodrigo de Paul
2726759,749,56416,80894,Lukasz Skorupski,Dries Mertens
3081261,416,255901,25508,Salvatore Sirigu,Rodrigo de Paul
3229423,1390,129129,286415,Pau López,João Pedro
2897507,12,159337,105470,Alisson,Roberto Inglese
3229219,1005,46156,79242,Gabriel,Aleksandar Kolarov
3614742,5,339808,197929,Ivan Provedel,Theo Hernández
3229220,5,341092,315858,Gianluigi Donnarumma,Federico Chiesa
3229222,1913,33481,25508,Salvatore Sirigu,Gervinho
3229522,506,8198,256339,Emil Audero,Cristiano Ronaldo
2897214,12,54984,7797,Albano Bizzarri,Diego Perotti
3433299,506,8198,244192,Pierluigi Gollini,Cristiano Ronaldo
3433302,3522,486624,197929,Ivan Provedel,Musa Barrow
3229532,1038,441385,315858,Gianluigi Donnarumma,Gonzalo Maroni
2897443,12,165900,105470,Alisson,Federico Viviani
2897374,4083,129505,24316,Emiliano Viviano,Marcello Trotta
3229457,46,406625,80894,Lukasz Skorupski,Lautaro Martínez
2897377,506,39153,7797,Albano Bizzarri,Gonzalo Higuaín
3229240,5,124902,315858,Gianluigi Donnarumma,Khouma Babacar
3433485,398,105521,241923,Lorenzo Montipò,Ciro Immobile
3615128,3522,327757,197929,Ivan Provedel,Krzysztof Piatek
2726698,1025,88683,7825,Pepe Reina,Mattia Destro
2726796,5,111961,80894,Lukasz Skorupski,Suso
3433393,800,167727,244192,Pierluigi Gollini,Andrea Belotti
2897541,506,2865,99523,Nícolas,Stephan Lichtsteiner
3081224,506,8198,21891,Stefano Sorrentino,Cristiano Ronaldo
2726817,6574,36371,35865,Andrea Consigli,Nikola Kalinic
2600636,1095,69006,318507,Paul Bernardoni,Lacina Traore
2942872,969,5303,22628,Benoît Costil,Souleymane Camara
2942681,2969,28140,190786,Baptiste Reynet,Max Gradel
3199534,1082,401923,229604,Gerónimo Rulli,Victor Osimhen
2942809,1162,76055,146714,Tomas Koubek,Ronny Rodelin
2942809,1162,208542,146714,Tomas Koubek,Stef Peeters
3047651,1420,326300,22628,Benoît Costil,Jeff Reine-Adélaïde
3199450,415,28140,182906,Mike Maignan,Max Gradel
2701607,273,39924,22628,Benoît Costil,Anthony Robic
3047534,1041,203496,55282,Ciprian Tatarusanu,Nabil Fekir
3394584,1420,170953,190263,Predrag Rajkovic,Stéphane Bahoken
2942821,618,91415,190786,Baptiste Reynet,Robert Beric
3047815,995,126687,182906,Mike Maignan,Valentin Eysseric
3047724,1082,343052,39918,Régis Gurtner,Nicolas Pépé
2701610,1159,5345,112822,Karl-Johan Johnsson,Youssouf Hadji
2901127,583,48280,60561,Anthony Lopes,Edinson Cavani
2701618,1162,45832,27490,Jean-Louis Leca,Ivan Santini
2702758,1159,126552,53306,Guy Ndy Assembé,Loïs Diony
2586990,1420,18934,22628,Benoît Costil,Thomas Mangani
2702791,40,193938,37760,Vincent Enyeama,Diego Rolán
2701666,273,37920,112822,Karl-Johan Johnsson,Kamil Grosicki
3614871,276,84765,241923,Lorenzo Montipò,Francesco Caputo
2702818,162,93720,27941,Danijel Subasic,Alexandre Lacazette
3614885,1038,44136,256339,Emil Audero,Domenico Criscito
3614896,416,133964,77825,Etrit Berisha,Lorenzo Insigne
2698286,31,44779,50219,Simon Mignolet,Diego Costa
2872483,1010,65477,74960,Martin Dúbravka,Troy Deeney
2872211,31,148455,48870,Jonas Lössl,Mohamed Salah
2872216,29,73484,130164,Jordan Pickford,Tom Cleverley
3592170,11,240306,427568,Aaron Ramsdale,Bruno Fernandes
2718911,368,18935,51710,Sergio Asenjo,Samir Nasri
3592281,543,534033,249994,José Sá,Alexis Mac Allister
2899672,418,8198,37403,Roberto,Cristiano Ronaldo
2899937,472,153238,121483,Jan Oblak,Jonathan Viera
3079403,681,122155,111819,Neto,Willian José
2719055,418,8198,42373,Diego Alves,Cristiano Ronaldo
2594558,621,29124,58497,Alberto García,Aritz Aduriz
2718740,1050,37579,229604,Gerónimo Rulli,Alexandre Pato
2718765,1244,217728,42373,Diego Alves,Alexander Szymanowski
3592039,1010,410225,59377,David de Gea,Ismaïla Sarr
2594488,418,25316,79422,Keylor Navas,Rubén Castro
2594582,1050,178425,120629,Alphonse Areola,Dani García
2704308,1,50512,1784,René Adler,Anthony Modeste
3607604,3368,120095,146227,Jasper Cillessen,José Campaña
3451194,2687,4,284342,Conan Ledesma,Marko Dmitrović
3209978,621,255508,51710,Sergio Asenjo,Iñaki Williams
3607580,1531,89733,102146,Édgar Badía,Álex Fernández
3451401,1049,372246,212862,Álex Remiro,Carlos Soler
3605208,940,246204,144128,Matías Dituro,Salvi Sánchez
3605210,681,351478,207834,Bono,Mikel Oyarzabal
3058638,1,57091,57071,Péter Gulácsi,Hanno Behrens
2872070,16,35207,16498,Ramazan Özcan,Marco Reus
3058693,1899,46580,51977,Pavao Pervan,Andrej Kramaric
2604124,862,68306,199976,Marco Sportiello,Alberto Paloschi
