match_id,player_in_id,player_in,player_out_id,player_out
2726719,31067,Jonathan de Guzmán,105892,Lucas Castro
2726719,36293,Serge Gakpé,159337,Roberto Inglese
2726721,245072,Stipe Perica,73794,Duván Zapata
2726721,42735,Sven Kums,22673,Emil Hallfredsson
2726721,62713,Ryder Matos,108484,Emmanuel Badu
2726722,15904,Thomas Vermaelen,104752,Konstantinos Manolas
2726722,5958,Francesco Totti,68864,Kevin Strootman
2726722,54984,Diego Perotti,28396,Edin Dzeko
2726715,34344,Cristián Zapata,129476,Gerard Deulofeu
2726715,99227,Andrea Bertolacci,74943,Juraj Kucka
2726715,44834,Andrea Poli,20137,José Sosa
2726723,191891,Arkadiusz Milik,38593,Marek Hamsik
2726723,21151,Christian Maggio,200056,Elseid Hysaj
2726723,64793,Leonardo Pavoletti,133964,Lorenzo Insigne
2726726,206050,Paulo Dybala,167859,Stefano Sturaro
2726726,75942,Tomás Rincón,44716,Claudio Marchisio
2726726,205940,Marko Pjaca,91970,Juan Cuadrado
2726730,23197,Alessandro Diamanti,332798,Roland Sallai
2726730,275682,Carlos Embalo,326204,Norbert Balogh
2726730,60790,Toni Sunjic,84622,Sinisa Andjelkovic
2726724,45287,Adel Taarabt,22210,Luca Rigoni
2726724,240415,Leonardo Morosini,75127,Ezequiel Muñoz
2726724,224088,Olivier Ntcham,158810,Oscar Hiljemark
2726725,278578,Andrea Nalini,102249,Maxwell Acosty
2726725,194549,Simy,129505,Marcello Trotta
2726725,205809,Marcus Rohdén,96853,Adrian Stoian
2726727,40660,Alessandro Matri,286297,Lorenzo Pellegrini
2726727,102470,Antonino Ragusa,165895,Matteo Politano
2726727,198086,Federico Ricci,163222,Grégoire Defrel
2726728,36293,Serge Gakpé,159337,Roberto Inglese
2726728,30853,Mariano Izco,105892,Lucas Castro
2726728,393804,Sofian Kiyine,26105,Valter Birsa
2726732,19694,Dusan Basta,253765,Wesley Hoedt
2726732,266302,Sergej Milinkovic-Savic,126729,Patric
2726732,225335,Wallace,44420,Stefan Radu
2726729,37418,Éder,156617,Marcelo Brozovic
2726729,244275,Gabriel Barbosa,25488,Antonio Candreva
2726729,12249,Éver Banega,149729,João Mário
2726731,4,Nenad Tomović,51226,Carlos Sánchez
2726731,188157,Sebastián Cristóforo,88909,Riccardo Saponara
2726731,179757,Maximiliano Olivera,141834,Cristian Tello
2726739,148455,Mohamed Salah,94529,Stephan El Shaarawy
2726739,148751,Bruno Peres,45314,Federico Fazio
2726739,166237,Leandro Paredes,5947,Daniele De Rossi
2726741,242086,Patrik Schick,119228,Luis Muriel
2726741,225873,Karol Linetty,16120,Édgar Barreto
2726741,144143,Bartosz Bereszynski,96806,Jacopo Sala
2726733,189441,Lucas Ocampos,111961,Suso
2726733,130394,Gianluca Lapadula,265088,Manuel Locatelli
2726733,74943,Juraj Kucka,119235,Carlos Bacca
2726734,197473,Alberto Grassi,99232,Marco D'Alessandro
2726734,57110,Anthony Mounier,85825,Jasmin Kurtic
2726734,68306,Alberto Paloschi,199258,Andrea Petagna
2726735,61786,Guido Marilungo,3713,Massimo Maccarone
2726735,74956,Marcel Büchel,73097,Omar El Kaddouri
2726736,55801,Marco Sau,52136,Davide Di Gennaro
2726736,29962,Daniele Dessena,255942,Nicolò Barella
2726736,92141,Víctor Ibarbo,5825,Marco Borriello
2726737,108484,Emmanuel Badu,182893,Seko Fofana
2726737,86793,Gabriele Angella,255901,Rodrigo de Paul
2726737,62713,Ryder Matos,245072,Stipe Perica
2726740,4,Adem Ljajić,334222,Lucas Boyé
2726740,26263,Maxi López,255473,Samuel Gustafson
2726740,81455,Juan Iturbe,59340,Iago Falque
2726742,129505,Marcello Trotta,194549,Simy
2726742,102249,Maxwell Acosty,205809,Marcus Rohdén
2726738,88683,Mattia Destro,130360,Simone Verdi
2726738,215616,Erick Pulgar,165900,Federico Viviani
2726738,140206,Ladislav Krejci,286949,Adam Masina
2726748,2865,Stephan Lichtsteiner,7109,Andrea Barzagli
2726748,162959,Daniele Rugani,45124,Medhi Benatia
2726748,364135,Moise Kean,205940,Marko Pjaca
2726750,28855,Raffaele Palladino,70411,Darko Lazovic
2726750,45287,Adel Taarabt,99327,Isaac Cofie
2726750,240415,Leonardo Morosini,224088,Olivier Ntcham
2726744,102470,Antonino Ragusa,5957,Alberto Aquilani
2726744,35747,Simone Missiroli,286297,Lorenzo Pellegrini
2726744,62735,Pietro Iemmello,40660,Alessandro Matri
2726743,149729,João Mário,12249,Éver Banega
2726743,39099,Rodrigo Palacio,68863,Mauro Icardi
2726743,37418,Éder,42460,Ivan Perisic
2726745,51226,Carlos Sánchez,4,Nenad Tomović
2726745,80351,Josip Ilicic,88909,Riccardo Saponara
2726745,40633,Milan Badelj,197300,Federico Bernardeschi
2726746,181136,Piotr Zielinski,317482,Marko Rog
2726746,56416,Dries Mertens,64793,Leonardo Pavoletti
2726746,84835,Emanuele Giaccherini,133964,Lorenzo Insigne
2726747,289510,Samuel Bastien,5928,Sergio Pellissier
2726747,393804,Sofian Kiyine,26105,Valter Birsa
2726747,324282,Fabio Depaoli,37295,Perparim Hetemaj
2726752,141654,Michele Fornasier,22093,Guglielmo Stendardo
2726752,17129,Sulley Muntari,162961,Valerio Verre
2726752,298635,Grigoris Kastanos,209649,Alexandru Mitrita
2726749,23197,Alessandro Diamanti,275682,Carlos Embalo
2726749,349719,Simone Lo Faso,277335,Bruno Henrique
2726751,140804,Jordan Lukaku,44420,Stefan Radu
2726751,225335,Wallace,111196,Stefan de Vrij
2726751,238752,Keita Baldé,26721,Lucas Biglia
2726756,334222,Lucas Boyé,4,Adem Ljajić
2726756,59340,Iago Falque,81455,Juan Iturbe
2726756,26263,Maxi López,134883,Daniele Baselli
2726755,265088,Manuel Locatelli,99227,Andrea Bertolacci
2726755,205938,Mario Pasalic,37918,Matías Fernández
2726755,45565,Luca Antonelli,130394,Gianluca Lapadula
2726759,3713,Massimo Maccarone,163683,Manuel Pucciarelli
2726759,240958,José Mauri,287635,Assane Dioussé
2726759,198116,Federico Dimarco,22749,Daniele Croce
2726753,38607,Federico Di Francesco,184528,Emil Krafth
2726753,256358,Bruno Petkovic,88683,Mattia Destro
2726753,207715,Ibrahima Mbaye,140206,Ladislav Krejci
2726754,129505,Marcello Trotta,87282,Aleksandar Tonev
2726754,160736,Noë Dussenne,163639,Federico Ceccherini
2726754,84442,Leonardo Capezzi,146680,Andrea Barberis
2726757,242086,Patrik Schick,240306,Bruno Fernandes
2726757,129588,Dennis Praet,318077,Lucas Torreira
2726757,94307,Filip Djuricic,242086,Patrik Schick
2726758,167796,Paolo Faragò,29962,Daniele Dessena
2726758,83877,Diego Farias,55801,Marco Sau
2726758,71019,Bartosz Salamon,101922,Fabio Pisacane
2726761,68306,Alberto Paloschi,199258,Andrea Petagna
2726761,294808,Franck Kessié,199248,Bryan Cristante
2726761,21756,Giulio Migliaccio,197473,Alberto Grassi
2726760,245072,Stipe Perica,29316,Cyril Théréau
2726760,109598,Thomas Heurtaux,255744,Samir Caetano
2726760,42735,Sven Kums,319160,Jakub Jankto
2726762,28396,Edin Dzeko,148751,Bruno Peres
2726762,54984,Diego Perotti,148455,Mohamed Salah
2726762,5947,Daniele De Rossi,166237,Leandro Paredes
2726769,184894,Alfred Duncan,35747,Simone Missiroli
2726769,40660,Alessandro Matri,163222,Grégoire Defrel
2726769,102470,Antonino Ragusa,165895,Matteo Politano
2726767,72479,Clément Grenier,54984,Diego Perotti
2726767,5958,Francesco Totti,28396,Edin Dzeko
2726767,121985,Juan Jesus,45314,Federico Fazio
2726772,81455,Juan Iturbe,59340,Iago Falque
2726772,334222,Lucas Boyé,245056,Sasa Lukic
2726772,26263,Maxi López,134883,Daniele Baselli
2726763,158810,Oscar Hiljemark,30782,Santiago Gentiletti
2726763,240415,Leonardo Morosini,224088,Olivier Ntcham
2726763,199941,Andrea Beghetto,70411,Darko Lazovic
2726764,124902,Khouma Babacar,36371,Nikola Kalinic
2726764,88909,Riccardo Saponara,80351,Josip Ilicic
2726764,341092,Federico Chiesa,141834,Cristian Tello
2726765,326204,Norbert Balogh,28827,Alessandro Gazzi
2726765,332798,Roland Sallai,22217,Roberto Vitiello
2726765,349719,Simone Lo Faso,277335,Bruno Henrique
2726766,28936,Riccardo Meggiorini,26105,Valter Birsa
2726766,51186,Nicolás Spolli,16868,Alessandro Gamberini
2726766,36293,Serge Gakpé,159337,Roberto Inglese
2726770,77910,Alessandro Bruno,17129,Sulley Muntari
2726770,197751,Alberto Cerri,146752,Gianluca Caprari
2726770,157167,Hrvoje Milicevic,139634,Ledian Memushaj
2726768,181136,Piotr Zielinski,126422,Allan
2726768,317482,Marko Rog,38593,Marek Hamsik
2726768,126656,Faouzi Ghoulam,39799,Ivan Strinic
2726771,127189,Geoffrey Kondogbia,197471,Roberto Gagliardini
2726771,37418,Éder,12249,Éver Banega
2726771,149729,João Mário,42460,Ivan Perisic
2726779,163683,Manuel Pucciarelli,61786,Guido Marilungo
2726779,287635,Assane Dioussé,74956,Marcel Büchel
2726779,56912,Levan Mchedlidze,163053,Mame Thiam
2726781,197473,Alberto Grassi,118689,Leonardo Spinazzola
2726781,99232,Marco D'Alessandro,85825,Jasmin Kurtic
2726781,57110,Anthony Mounier,111227,Andrea Conti
2726773,170934,Mario Lemina,91970,Juan Cuadrado
2726773,39983,Leonardo Bonucci,167859,Stefano Sturaro
2726773,15951,Dani Alves,2865,Stephan Lichtsteiner
2726774,129588,Dennis Praet,240306,Bruno Fernandes
2726774,76077,Ricardo Álvarez,225873,Karol Linetty
2726774,72274,Vasco Regini,109038,Dodô
2726775,114340,Gabriel Silva,255744,Samir Caetano
2726775,17127,Felipe,270188,Lucas Evangelista
2726775,109598,Thomas Heurtaux,32816,Danilo
2726776,160357,Mario Sampirisi,205809,Marcus Rohdén
2726776,102249,Maxwell Acosty,129505,Marcello Trotta
2726776,84442,Leonardo Capezzi,146680,Andrea Barberis
2726778,265088,Manuel Locatelli,20137,José Sosa
2726778,45565,Luca Antonelli,111961,Suso
2726778,130394,Gianluca Lapadula,129476,Gerard Deulofeu
2726780,38607,Federico Di Francesco,130360,Simone Verdi
2726780,256358,Bruno Petkovic,368559,Ádám Nagy
2726780,24977,Vasilios Torosidis,22140,Domenico Maietta
2726782,167796,Paolo Faragò,5825,Marco Borriello
2726782,83877,Diego Farias,56703,Simone Padoin
2726782,402193,Kwang-song Han,55801,Marco Sau
2726777,238752,Keita Baldé,289061,Alessandro Murgia
2726777,253765,Wesley Hoedt,195810,Bastos
2726777,126729,Patric,19694,Dusan Basta
2726790,37418,Éder,42460,Ivan Perisic
2726790,131102,Jeison Murillo,149729,João Mário
2726790,45567,Jonathan Biabiany,25488,Antonio Candreva
2726783,148751,Bruno Peres,104752,Konstantinos Manolas
2726783,94529,Stephan El Shaarawy,5947,Daniele De Rossi
2726783,5958,Francesco Totti,54984,Diego Perotti
2726784,349719,Simone Lo Faso,326204,Norbert Balogh
2726784,332798,Roland Sallai,142920,Aleksandar Trajkovski
2726784,23197,Alessandro Diamanti,47513,Mato Jajalo
2726785,83877,Diego Farias,55801,Marco Sau
2726785,255942,Nicolò Barella,235931,Alessandro Deiola
2726785,43411,Roberto Colombo,84467,Rafael
2726786,334222,Lucas Boyé,26263,Maxi López
2726786,245056,Sasa Lukic,84903,Mirko Valdifiori
2726786,201040,Marco Benassi,134883,Daniele Baselli
2726787,80351,Josip Ilicic,88909,Riccardo Saponara
2726787,124902,Khouma Babacar,197300,Federico Bernardeschi
2726787,179757,Maximiliano Olivera,341092,Federico Chiesa
2726788,121402,Ahmad Benali,17129,Sulley Muntari
2726788,164897,Jean-Christophe Bahebeck,77910,Alessandro Bruno
2726788,162961,Valerio Verre,131109,Gastón Brugman
2726789,12563,Goran Pandev,43848,Miguel Veloso
2726789,199733,Danilo Cataldi,22210,Luca Rigoni
2726789,158810,Oscar Hiljemark,282388,Giovanni Simeone
2726791,62735,Pietro Iemmello,40660,Alessandro Matri
2726791,184894,Alfred Duncan,286297,Lorenzo Pellegrini
2726791,337716,Claud Adjapong,165895,Matteo Politano
2726792,317482,Marko Rog,126422,Allan
2726792,191891,Arkadiusz Milik,56416,Dries Mertens
2726792,181136,Piotr Zielinski,38593,Marek Hamsik
2726793,199248,Bryan Cristante,294808,Franck Kessié
2726793,99232,Marco D'Alessandro,72441,Rafael Tolói
2726793,197473,Alberto Grassi,199258,Andrea Petagna
2726798,256866,Carlos Salcedo,4,Nenad Tomović
2726798,80351,Josip Ilicic,197300,Federico Bernardeschi
2726798,188157,Sebastián Cristóforo,141834,Cristian Tello
2726799,40660,Alessandro Matri,163222,Grégoire Defrel
2726799,226025,Luca Mazzitelli,286297,Lorenzo Pellegrini
2726799,198086,Federico Ricci,177843,Domenico Berardi
2726794,42735,Sven Kums,108484,Emmanuel Badu
2726794,245072,Stipe Perica,29316,Cyril Théréau
2726794,114340,Gabriel Silva,319160,Jakub Jankto
2726795,94307,Filip Djuricic,129588,Dennis Praet
2726795,72274,Vasco Regini,109038,Dodô
2726795,76077,Ricardo Álvarez,16120,Édgar Barreto
2726796,119235,Carlos Bacca,37918,Matías Fernández
2726796,189441,Lucas Ocampos,88682,Mattia De Sciglio
2726796,66521,Keisuke Honda,111961,Suso
2726800,140804,Jordan Lukaku,84545,Marco Parolo
2726800,228604,Luca Crecco,266302,Sergej Milinkovic-Savic
2726800,240349,Cristiano Lombardi,238752,Keita Baldé
2726802,36293,Serge Gakpé,26105,Valter Birsa
2726802,393804,Sofian Kiyine,37295,Perparim Hetemaj
2726802,30853,Mariano Izco,324282,Fabio Depaoli
2726797,75942,Tomás Rincón,29401,Sami Khedira
2726797,167859,Stefano Sturaro,34572,Mario Mandzukic
2726797,308279,Rolando Mandragora,44716,Claudio Marchisio
2726801,77910,Alessandro Bruno,17129,Sulley Muntari
2726801,162961,Valerio Verre,472161,Mamadou Coulibaly
2726801,141654,Michele Fornasier,28833,Andrea Coda
2726805,294808,Franck Kessié,85825,Jasmin Kurtic
