team_id,team_name
533,TSG 1899 Hoffenheim
39,1.FSV Mainz 05
167,FC Augsburg
44,Hertha BSC
10,Arminia Bielefeld
3,1.FC Köln
80,VfL Bochum
65,SpVgg Greuther Fürth
506,Juventus Turin
12,AS Rom
398,Lazio Rom
430,AC Florenz
6195,SSC Neapel
252,Genua CFC
1038,Sampdoria Genua
46,Inter Mailand
416,FC Turin
5,AC Mailand
458,Palermo FC
6574,US Sassuolo
276,Hellas Verona
862,Chievo Verona
749,FC Empoli
410,Udinese Calcio
800,Atalanta Bergamo
1025,FC Bologna
4102,AC Carpi
8970,Frosinone Calcio
800,Atalanta Bergamo
1025,FC Bologna
1390,Cagliari Calcio
862,Chievo Verona
4083,FC Crotone
749,FC Empoli
430,AC Florenz
252,Genua CFC
46,Inter Mailand
506,Juventus Turin
398,Lazio Rom
5,AC Mailand
6195,SSC Neapel
458,Palermo FC
2921,Delfino Pescara 1936
12,AS Rom
1038,Sampdoria Genua
6574,US Sassuolo
416,FC Turin
410,Udinese Calcio
800,Atalanta Bergamo
4171,Benevento Calcio
1025,FC Bologna
1390,Cagliari Calcio
862,Chievo Verona
4083,FC Crotone
430,AC Florenz
252,Genua CFC
276,Hellas Verona
46,Inter Mailand
506,Juventus Turin
398,Lazio Rom
5,AC Mailand
6195,SSC Neapel
12,AS Rom
1038,Sampdoria Genua
6574,US Sassuolo
2722,SPAL
416,FC Turin
410,Udinese Calcio
800,Atalanta Bergamo
1025,FC Bologna
1390,Cagliari Calcio
862,Chievo Verona
749,FC Empoli
430,AC Florenz
8970,Frosinone Calcio
252,Genua CFC
46,Inter Mailand
506,Juventus Turin
398,Lazio Rom
5,AC Mailand
6195,SSC Neapel
130,Parma Calcio 1913
12,AS Rom
1038,Sampdoria Genua
6574,US Sassuolo
2722,SPAL
416,FC Turin
410,Udinese Calcio
800,Atalanta Bergamo
1025,FC Bologna
19,Brescia Calcio
1390,Cagliari Calcio
430,AC Florenz
252,Genua CFC
276,Hellas Verona
46,Inter Mailand
506,Juventus Turin
398,Lazio Rom
1005,US Lecce
